DATE,PRICE
30/12/2002,"38,02"
31/12/2002,"38,02"
01/01/2003,"38,02"
02/01/2003,"38,72"
03/01/2003,"38,75"
06/01/2003,"39,00"
07/01/2003,"38,95"
08/01/2003,"38,79"
09/01/2003,"38,94"
10/01/2003,"39,01"
13/01/2003,"39,21"
14/01/2003,"39,29"
15/01/2003,"39,22"
16/01/2003,"39,21"
17/01/2003,"38,90"
20/01/2003,"38,75"
21/01/2003,"38,71"
22/01/2003,"38,43"
23/01/2003,"38,46"
24/01/2003,"37,90"
27/01/2003,"36,90"
28/01/2003,"37,04"
29/01/2003,"37,48"
30/01/2003,"37,97"
31/01/2003,"38,28"
03/02/2003,"38,59"
04/02/2003,"37,64"
05/02/2003,"38,17"
06/02/2003,"37,46"
07/02/2003,"37,02"
10/02/2003,"37,18"
11/02/2003,"37,73"
12/02/2003,"37,29"
13/02/2003,"37,16"
14/02/2003,"37,96"
17/02/2003,"38,33"
18/02/2003,"38,49"
19/02/2003,"38,20"
20/02/2003,"38,12"
21/02/2003,"38,36"
24/02/2003,"38,05"
25/02/2003,"37,33"
26/02/2003,"37,18"
27/02/2003,"37,70"
28/02/2003,"38,13"
03/03/2003,"38,26"
04/03/2003,"38,07"
05/03/2003,"38,07"
06/03/2003,"37,66"
07/03/2003,"37,09"
10/03/2003,"36,28"
11/03/2003,"36,48"
12/03/2003,"34,94"
13/03/2003,"37,08"
14/03/2003,"37,89"
17/03/2003,"38,65"
18/03/2003,"38,74"
19/03/2003,"38,85"
20/03/2003,"38,96"
21/03/2003,"39,27"
24/03/2003,"38,72"
25/03/2003,"39,07"
26/03/2003,"39,11"
27/03/2003,"39,04"
28/03/2003,"39,10"
31/03/2003,"38,63"
01/04/2003,"38,91"
02/04/2003,"39,44"
03/04/2003,"39,51"
04/04/2003,"39,73"
07/04/2003,"40,18"
08/04/2003,"40,13"
09/04/2003,"40,15"
10/04/2003,"40,08"
11/04/2003,"40,18"
14/04/2003,"40,48"
15/04/2003,"40,60"
16/04/2003,"40,57"
17/04/2003,"40,65"
18/04/2003,"40,65"
21/04/2003,"40,65"
22/04/2003,"40,79"
23/04/2003,"40,85"
